MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
367797720,2020-01-01T02:04:55,40.63979,-74.14564,0.1,40,230,DAISY MAE,,WDJ6432,,0,,,,,B
367175780,2020-01-01T02:11:28,40.63979,-74.05397,6.7,-63.8,350,WEDDELL SEA,IMO8741820,WDG2226,31,0,31,11,5.2,32,B
367770270,2020-01-01T00:53:48,40.6398,-74.1912,0,71,68,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T00:31:18,40.6398,-74.19116,0,80.3,64,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T00:49:08,40.6398,-74.19116,0,71.8,68,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T00:36:28,40.6398,-74.19115,0,80.3,73,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T01:22:08,40.6398,-74.19115,0,92.9,62,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T02:02:28,40.6398,-74.19115,0,17.5,46,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T00:16:18,40.6398,-74.19114,0,86.2,70,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T00:50:17,40.6398,-74.19114,0,71.9,68,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,A
367770270,2020-01-01T01:01:17,40.6398,-74.19114,0,86.8,69,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T01:07:27,40.6398,-74.19113,0,96.6,69,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T02:01:18,40.6398,-74.19113,0,17.5,50,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T01:19:18,40.6398,-74.19111,0,118.2,66,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T01:15:08,40.6398,-74.19109,0,146.4,69,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T01:58:36,40.6398,-74.19109,0,17.5,44,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T02:19:07,40.6398,-74.19109,0,28.8,68,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T01:16:28,40.6398,-74.19106,0,146.5,68,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367797720,2020-01-01T00:29:54,40.6398,-74.14578,0.3,87,119,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T02:23:14,40.6398,-74.14571,0.1,-88.6,242,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T02:24:44,40.6398,-74.1457,0.1,-92.6,242,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T00:48:25,40.6398,-74.14566,0.1,43,233,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T00:52:54,40.6398,-74.14566,0.1,43,236,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:58:15,40.6398,-74.14566,0.1,40,228,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:32:14,40.6398,-74.14566,0.1,43,231,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T02:01:15,40.6398,-74.14566,0.2,40,231,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T02:08:34,40.6398,-74.14566,0.1,40,229,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T02:16:25,40.6398,-74.14566,0.1,38,230,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:12:34,40.6398,-74.14565,0.1,44,230,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:33:55,40.6398,-74.14565,0.1,43,230,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T02:07:15,40.6398,-74.14565,0.1,40,229,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T02:06:05,40.6398,-74.14565,0.1,40,229,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T02:03:45,40.6398,-74.14565,0.1,40,231,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:19:34,40.6398,-74.14564,0.1,44,233,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T02:00:05,40.6398,-74.14564,0.1,40,231,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:26:45,40.6398,-74.14563,0.1,43,230,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:22:45,40.6398,-74.14563,0.1,44,233,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T02:12:14,40.6398,-74.14563,0.1,39,229,DAISY MAE,,WDJ6432,,0,,,,,B
367605850,2020-01-01T02:16:02,40.6398,-74.05688,6.3,-79.8,327,HMS JUSTICE,,WDH3254,31,5,22,,,,B
367770270,2020-01-01T00:39:28,40.63981,-74.19117,0,89.7,67,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
